id,Condition,phase,item_id,share,share01
5ead3c0924839e3c0827c09c,Infographics,pre,Emotion-2-tripl,1,0.0
5e821d00f510ba06f5b3de56,Control,pre,Emotion-2-tripl,1,0.0
598b66390ea3200001521202,Infographics,pre,Emotion-2-tripl,1,0.0
5ece8bcf77dd8b0a613daf24,Control,pre,Emotion-2-tripl,1,0.0
5f97f966b1114d030ca946ac,Control,pre,Emotion-2-tripl,1,0.0
5b0ea5ea30d5620001558164,Infographics,pre,Emotion-2-tripl,1,0.0
5e3afe879d5f1e30b75b9ca6,Infographics,pre,Emotion-2-tripl,1,0.0
5f92b1dc8984ea1df1f4d3b3,Control,pre,Emotion-2-tripl,1,0.0
5ef647ec3ce68a1178780f5a,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5f8ac37961bf52177f0ec44e,Infographics,pre,Emotion-2-tripl,1,0.0
5b5b9fdfe36fe200014d239a,Infographics,pre,Emotion-2-tripl,4,0.5
5ebc1b7eee44e501328a5dee,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5d3f3b6684e7500019d28684,GoViral,pre,Emotion-2-tripl,4,0.5
5da4ec5c32d70b00128096ca,Infographics,pre,Emotion-2-tripl,1,0.0
5aa696af6219a30001c75d2a,Infographics,pre,Emotion-2-tripl,1,0.0
5b550c6e303c330001660747,Infographics,pre,Emotion-2-tripl,1,0.0
589899b7622a230001e743d7,Control,pre,Emotion-2-tripl,5,0.6666666666666666
5aa14aff777df2000160460d,Infographics,pre,Emotion-2-tripl,1,0.0
5f13141f9b4f8216be9d1ec3,Infographics,pre,Emotion-2-tripl,1,0.0
5da8d462cb29f000133c86a6,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5c3673c3688b59000101f356,Infographics,pre,Emotion-2-tripl,1,0.0
5e1b2b3e4a955b350b1e0a63,Control,pre,Emotion-2-tripl,1,0.0
5ea0228d4f38cb0326e4e027,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5ebc8d9dc323480db21eb8a7,Infographics,pre,Emotion-2-tripl,1,0.0
5c9384efc719fc00017dfce0,GoViral,pre,Emotion-2-tripl,1,0.0
5c94e72728920c0001b56732,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
57c975a8648ff40001666439,GoViral,pre,Emotion-2-tripl,1,0.0
5eb57b5f121d85413f183603,Control,pre,Emotion-2-tripl,3,0.3333333333333333
5e3d71c28eb5270274d528b8,Infographics,pre,Emotion-2-tripl,1,0.0
5f96fa1376783703a81f6d82,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
5dd09c260f8d51171ae70454,Control,pre,Emotion-2-tripl,1,0.0
5f3a3d686d730201406546ef,Infographics,pre,Emotion-2-tripl,1,0.0
5c94b2681959a00013c88bac,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
599dacb43c7d1a0001deef97,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
