id,Condition,item_id,share,share01
671451,1,1,1.0,1.0
237057,1,1,0.0,0.0
528602,2,1,0.0,0.0
748966,2,1,0.0,0.0
309561,2,1,0.0,0.0
775521,3,1,1.0,1.0
61540,2,1,0.0,0.0
627487,1,1,0.0,0.0
338894,3,1,0.0,0.0
293925,1,1,1.0,1.0
327102,3,1,0.0,0.0
606554,3,1,0.0,0.0
418364,1,1,0.0,0.0
310637,2,1,0.0,0.0
381202,1,1,0.0,0.0
620747,2,1,0.0,0.0
548944,1,1,0.0,0.0
130784,3,1,0.0,0.0
437370,3,1,0.0,0.0
498711,3,1,0.0,0.0
960189,3,1,0.0,0.0
713692,3,1,0.0,0.0
387484,2,1,0.0,0.0
224341,2,1,0.0,0.0
473893,1,1,0.0,0.0
574629,2,1,1.0,1.0
741973,3,1,0.0,0.0
487100,3,1,0.0,0.0
239821,1,1,0.0,0.0
40492,2,1,0.0,0.0
881784,3,1,0.0,0.0
352990,1,1,0.0,0.0
922013,2,1,0.0,0.0
97906,2,1,0.0,0.0
624105,2,1,0.0,0.0
872878,2,1,0.0,0.0
686240,1,1,0.0,0.0
114374,1,1,0.0,0.0
894670,3,1,1.0,1.0
902800,3,1,0.0,0.0
540331,3,1,0.0,0.0
408426,1,1,0.0,0.0
656511,3,1,0.0,0.0
135177,1,1,0.0,0.0
597869,1,1,0.0,0.0
86941,3,1,0.0,0.0
261811,1,1,0.0,0.0
632938,2,1,0.0,0.0
749678,1,1,0.0,0.0
623985,3,1,0.0,0.0
485236,1,1,0.0,0.0
719727,1,1,0.0,0.0
788068,2,1,0.0,0.0
214514,1,1,0.0,0.0
748216,3,1,0.0,0.0
718044,2,1,0.0,0.0
460293,1,1,1.0,1.0
591721,2,1,0.0,0.0
340235,2,1,0.0,0.0
423966,3,1,0.0,0.0
427428,3,1,0.0,0.0
303687,3,1,0.0,0.0
276879,1,1,0.0,0.0
812627,3,1,0.0,0.0
153409,2,1,0.0,0.0
608860,1,1,0.0,0.0
15876,3,1,1.0,1.0
440835,1,1,0.0,0.0
839125,3,1,0.0,0.0
409081,3,1,1.0,1.0
199715,1,1,0.0,0.0
617543,1,1,1.0,1.0
972049,3,1,0.0,0.0
278705,1,1,1.0,1.0
773969,2,1,0.0,0.0
89739,2,1,0.0,0.0
972407,1,1,1.0,1.0
933891,3,1,0.0,0.0
782994,1,1,0.0,0.0
577188,3,1,0.0,0.0
655736,1,1,1.0,1.0
463244,1,1,0.0,0.0
18770,3,1,0.0,0.0
631699,1,1,1.0,1.0
853785,1,1,0.0,0.0
688434,3,1,0.0,0.0
545709,2,1,0.0,0.0
722594,2,1,0.0,0.0
992824,3,1,0.0,0.0
967094,3,1,0.0,0.0
403486,2,1,1.0,1.0
777773,1,1,0.0,0.0
718153,1,1,0.0,0.0
327668,1,1,0.0,0.0
886635,2,1,0.0,0.0
624886,1,1,0.0,0.0
487642,2,1,0.0,0.0
554074,3,1,0.0,0.0
740995,1,1,1.0,1.0
453004,1,1,0.0,0.0
161362,2,1,0.0,0.0
175013,2,1,0.0,0.0
333155,1,1,0.0,0.0
628173,1,1,0.0,0.0
789239,2,1,0.0,0.0
263555,3,1,0.0,0.0
331351,1,1,0.0,0.0
599705,3,1,0.0,0.0
891640,3,1,0.0,0.0
995113,1,1,0.0,0.0
690304,1,1,0.0,0.0
44662,3,1,0.0,0.0
2468,2,1,0.0,0.0
735202,2,1,0.0,0.0
111101,1,1,1.0,1.0
129496,2,1,0.0,0.0
685263,2,1,0.0,0.0
265711,1,1,1.0,1.0
999001,3,1,0.0,0.0
181120,2,1,0.0,0.0
468383,2,1,0.0,0.0
314997,3,1,0.0,0.0
407941,2,1,0.0,0.0
524897,2,1,1.0,1.0
40557,1,1,1.0,1.0
337166,1,1,1.0,1.0
55049,2,1,0.0,0.0
816833,3,1,0.0,0.0
12640,1,1,0.0,0.0
413762,2,1,0.0,0.0
104266,3,1,0.0,0.0
355853,1,1,0.0,0.0
762097,1,1,0.0,0.0
295591,3,1,0.0,0.0
939974,1,1,0.0,0.0
485015,3,1,0.0,0.0
494138,1,1,0.0,0.0
347438,3,1,0.0,0.0
123078,2,1,0.0,0.0
196102,2,1,0.0,0.0
297503,1,1,0.0,0.0
793480,2,1,0.0,0.0
234173,1,1,0.0,0.0
589286,1,1,0.0,0.0
684939,2,1,0.0,0.0
757542,3,1,1.0,1.0
858986,1,1,0.0,0.0
