id,Condition,item_id,share,share01
5e9f9b8cd882b914901095d2,1,1,3,0.3333333333333333
5eb4ac7bed81043123587035,2,1,5,0.6666666666666666
5ea89d0c5a0a9c12978f8263,1,1,1,0.0
562be0d4733ea00011162e31,1,1,1,0.0
58ea5aff040a7800015509bf,2,1,1,0.0
5ed427e3bcd0c00b58a177c0,1,1,1,0.0
5e8542e8a4fa7b1366597e71,2,1,1,0.0
5e33194f7d541f035c91e3b4,2,1,1,0.0
5ee55d1dc96e750efb19cba3,1,1,1,0.0
5e960111bc10f706bfe802fe,2,1,1,0.0
5d49f195061e2a000138b69f,1,1,1,0.0
5d4225e01985380018375d83,1,1,5,0.6666666666666666
5db6ff8c7f9e6b000dd24a19,1,1,1,0.0
