rid,Condition,fake_index,share,share01
5e6bfdd6-b30b-0777-bd0e-270809f91d28,2,1,1.0,0.0
5e6c2067-1732-5d83-251b-fafe09897701,2,1,1.0,0.0
5e6c2b4c-6b3c-d3d9-39fb-a9b246018621,2,1,1.0,0.0
5e6c5ce9-19c5-7f41-fd1f-60e841948a6a,2,1,2.0,0.2
5e6c6668-d16c-4b55-83e2-07ec48f75f4f,2,1,4.0,0.6
5e6cd2cb-fa45-010a-8b6d-51505f1a5acf,2,1,2.0,0.2
5e6cf078-5ac1-81ac-ec3e-d1fa20f8a8b4,1,1,4.0,0.6
5e6d054b-4c41-b370-da66-de36f89bc33e,2,1,1.0,0.0
5e6d29eb-bd0e-f38a-5a0a-a72188181cf2,2,1,4.0,0.6
5e6d288f-22f8-bd3b-ad39-a73f25c8eaae,1,1,1.0,0.0
5e6d53ff-f7ac-adb4-95d2-5d94d7830693,1,1,4.0,0.6
5e6d60b2-3405-63db-f3d1-331552a07e1c,2,1,1.0,0.0
5e6d9bd8-975d-5411-7ea2-c386407be8b9,1,1,2.0,0.2
5e6df3fb-731d-aeae-96ec-c92e8900038f,1,1,1.0,0.0
5e6e01fa-6d14-9995-9a22-502fecbab92c,1,1,1.0,0.0
5e6e3420-3158-81e0-33bd-f734d2338d9a,2,1,1.0,0.0
5e6bf968-036e-dbe4-56cc-4f1b357cfb70,2,1,6.0,1.0
5e6bfea0-de39-4e11-6abe-86611a53abfe,1,1,3.0,0.4
5e6c095c-acfe-b32c-7f1d-246aa371a20c,1,1,6.0,1.0
5e6c0ec2-c30e-8527-47a6-1d58b4bd5550,1,1,3.0,0.4
5e6c14b7-5da9-e02a-bb0f-da9db17f002c,2,1,1.0,0.0
5e6c1d96-a483-9fb6-35a7-09dd44184285,1,1,5.0,0.8
5e6c1c60-43fa-b6ba-c03c-1a06b872a30c,2,1,1.0,0.0
5e6c1d3e-7d9e-c26b-d4ad-2a8540704dfd,2,1,2.0,0.2
5e6c1df5-95f4-e457-3c02-f58bbb11d2f0,1,1,5.0,0.8
5e6c1dc6-91f8-02d3-161c-55f75108e0b9,2,1,4.0,0.6
5e6c1c5e-6d33-49c3-011b-ea362747e2d2,1,1,4.0,0.6
5e6c1cf0-a1e5-79a5-8a9b-1d65706388ad,2,1,2.0,0.2
5e6c1c7d-5ccb-e7b2-339f-95b56dacb34f,2,1,5.0,0.8
5e6c1d58-75a9-48df-177d-fd40259d1e54,1,1,5.0,0.8
5e6c1f9e-beff-c99a-dba9-0bd8fb7009d0,1,1,4.0,0.6
5e6c1f6f-4851-8be9-b151-a07cc36d0597,1,1,5.0,0.8
5e6c1e68-8f6e-ade9-fad9-b87eee7c61b4,2,1,1.0,0.0
5e6c2066-e99b-3517-2f5f-0bffecefd46b,1,1,4.0,0.6
5e6c2043-89b0-8edb-a993-db8db491ac40,2,1,4.0,0.6
5e6c21a8-fb19-0766-913d-0ed269c2b574,1,1,1.0,0.0
5e6c22ba-e3af-91c0-d912-3cc5dbbdcf4c,1,1,3.0,0.4
5e6c20b6-5c33-681f-6786-10c8230e4ad9,2,1,5.0,0.8
5e6c21cf-c70b-e4c5-f825-6d15da4a419a,2,1,6.0,1.0
5e6c2366-9caa-bb59-03e6-8ab5ff6bfbd4,1,1,4.0,0.6
5e6c2428-f7bc-f723-c039-1582a99f0966,1,1,5.0,0.8
5e6c1d94-87de-5766-8664-6c57a6b8217f,1,1,3.0,0.4
5e6c1d1b-c68a-1786-2560-25d3eab08aa2,2,1,1.0,0.0
5e6c24a0-9600-7e9f-a828-f318e8a6d3de,2,1,1.0,0.0
5e6c22f2-ea4a-fb8d-8144-ba0e5cff30a6,1,1,4.0,0.6
5e6c20db-1d78-0ad2-2fdc-a49bd977810e,1,1,5.0,0.8
5e6c24ac-ac34-3ecb-1e62-35be9f68b459,2,1,1.0,0.0
